key,real,imag
448_1152,0.000100,0.000336
448_1216,0.000116,0.000390
448_1280,0.000128,0.000397
448_1344,0.000134,0.000368
448_1408,0.000135,0.000335
448_1472,0.000135,0.000311
448_1536,0.000135,0.000298
448_1600,0.000135,0.000295
448_1664,0.000135,0.000281
448_1728,0.000137,0.000272
448_1792,0.000137,0.000292
448_1856,0.000136,0.000306
448_1920,0.000138,0.000300
448_1984,0.000139,0.000283
448_2048,0.000138,0.000295
512_64,-0.000002,0.000013
512_128,0.000000,-0.000009
512_192,0.000002,-0.000026
512_256,0.000000,-0.000006
512_320,-0.000000,0.000019
512_384,0.000002,0.000005
512_448,0.000003,-0.000013
512_512,0.000003,-0.000017
512_576,0.000003,-0.000049
512_640,0.000003,-0.000105
512_704,0.000006,-0.000158
512_768,0.000017,-0.000149
512_832,0.000039,-0.000033
512_896,0.000065,0.000156
512_960,0.000086,0.000354
512_1024,0.000102,0.000540
512_1088,0.000118,0.000722
512_1152,0.000140,0.000904
512_1216,0.000166,0.001061
512_1280,0.000189,0.001136
512_1344,0.000201,0.001116
512_1408,0.000203,0.001059
512_1472,0.000203,0.001012
512_1536,0.000203,0.000990
512_1600,0.000203,0.000988
512_1664,0.000204,0.000973
512_1728,0.000206,0.000966
512_1792,0.000205,0.000993
512_1856,0.000204,0.001009
512_1920,0.000205,0.000994
512_1984,0.000207,0.000973
512_2048,0.000206,0.000986
576_64,-0.000002,0.000009
576_128,0.000000,-0.000014
576_192,0.000002,-0.000031
576_256,-0.000001,-0.000005
576_320,-0.000001,0.000020
576_384,0.000003,-0.000005
576_448,0.000004,-0.000029
576_512,0.000004,-0.000047
576_576,0.000005,-0.000102
576_640,0.000005,-0.000163
576_704,0.000009,-0.000201
576_768,0.000024,-0.000132
576_832,0.000043,0.000050
576_896,0.000051,0.000231
576_960,0.000046,0.000371
576_1024,0.000034,0.000504
576_1088,0.000021,0.000639
576_1152,0.000016,0.000780
576_1216,0.000026,0.000947
576_1280,0.000045,0.001090
576_1344,0.000060,0.001120
576_1408,0.000065,0.001070
576_1472,0.000065,0.001017
576_1536,0.000065,0.000976
576_1600,0.000065,0.000964
576_1664,0.000067,0.000944
576_1728,0.000070,0.000930
576_1792,0.000070,0.000957
576_1856,0.000067,0.000980
576_1920,0.000069,0.000963
576_1984,0.000071,0.000941
576_2048,0.000069,0.000951
640_64,-0.000002,0.000011
640_128,-0.000001,-0.000009
640_192,0.000002,-0.000037
640_256,-0.000000,-0.000016
640_320,0.000001,0.000004
640_384,0.000004,-0.000030
640_448,0.000006,-0.000057
640_512,0.000007,-0.000103
640_576,0.000008,-0.000162
640_640,0.000008,-0.000258
640_704,0.000012,-0.000352
640_768,0.000032,-0.000255
640_832,0.000054,-0.000059
640_896,0.000061,0.000110
640_960,0.000054,0.000286
640_1024,0.000036,0.000485
640_1088,0.000019,0.000685
640_1152,0.000012,0.000862
640_1216,0.000020,0.001019
640_1280,0.000042,0.001172
640_1344,0.000063,0.001213
640_1408,0.000068,0.001110
640_1472,0.000067,0.001032
640_1536,0.000068,0.000984
640_1600,0.000069,0.000950
640_1664,0.000070,0.000928
640_1728,0.000074,0.000906
640_1792,0.000074,0.000930
640_1856,0.000072,0.000946
640_1920,0.000075,0.000920
640_1984,0.000077,0.000902
640_2048,0.000074,0.000913
704_64,-0.000003,0.000018
704_128,-0.000001,0.000001
704_192,0.000003,-0.000048
704_256,0.000001,-0.000036
704_320,0.000002,-0.000016
704_384,0.000004,-0.000053
704_448,0.000006,-0.000090
704_512,0.000008,-0.000158
704_576,0.000009,-0.000203
704_640,0.000009,-0.000354
704_704,0.000026,-0.000353
704_768,0.000064,-0.000024
704_832,0.000088,0.000279
704_896,0.000076,0.000450
704_960,0.000001,0.000403
704_1024,-0.000128,0.000119
704_1088,-0.000258,-0.000138
704_1152,-0.000332,-0.000138
704_1216,-0.000345,0.000042
704_1280,-0.000318,0.000293
704_1344,-0.000278,0.000510
704_1408,-0.000261,0.000449
704_1472,-0.000261,0.000319
704_1536,-0.000260,0.000278
704_1600,-0.000258,0.000219
704_1664,-0.000257,0.000189
704_1728,-0.000254,0.000160
704_1792,-0.000254,0.000184
704_1856,-0.000256,0.000191
704_1920,-0.000251,0.000145
704_1984,-0.000249,0.000130
704_2048,-0.000253,0.000148
768_64,-0.000004,0.000019
768_128,-0.000001,0.000002
768_192,0.000004,-0.000062
768_256,0.000001,-0.000053
768_320,0.000001,-0.000044
768_384,0.000001,-0.000070
768_448,0.000003,-0.000108
768_512,0.000003,-0.000148
768_576,0.000003,-0.000131
768_640,0.000006,-0.000253
768_704,0.000035,-0.000016
768_768,0.000073,0.000430
768_832,0.000100,0.000792
768_896,0.000084,0.001041
768_960,-0.000026,0.000786
768_1024,-0.000196,0.000173
768_1088,-0.000367,-0.000402
768_1152,-0.000477,-0.000583
768_1216,-0.000492,-0.000323
768_1280,-0.000464,-0.000018
768_1344,-0.000422,0.000308
768_1408,-0.000392,0.000417
768_1472,-0.000389,0.000297
768_1536,-0.000389,0.000306
768_1600,-0.000388,0.000253
768_1664,-0.000386,0.000222
768_1728,-0.000386,0.000193
768_1792,-0.000386,0.000205
768_1856,-0.000389,0.000208
768_1920,-0.000384,0.000148
768_1984,-0.000381,0.000132
768_2048,-0.000385,0.000151
832_64,-0.000003,0.000012
832_128,-0.000001,-0.000002
