small tile,,,Original,,,error,,,
key,real,imag,key,real,imag,real Err,img Err,,
768_384,0.000001,-0.000071,768_384,0.000001,-0.00007,0,-1E-06,,
768_512,0.000003,-0.000149,768_512,0.000003,-0.000147,0,-2E-06,,
768_640,0.000007,-0.000253,768_640,0.000006,-0.00025,0.000001,-3E-06,,
768_768,0.000075,0.000442,768_768,0.000074,0.000442,1E-06,0,,
768_896,0.000086,0.001071,768_896,0.000084,0.001057,2E-06,1.4E-05,,
768_1024,-0.000199,0.000197,768_1024,-0.000198,0.000181,-1E-06,0.000016,,
768_1152,-0.00048,-0.000539,768_1152,-0.000476,-0.000559,-4E-06,2E-05,,
768_1280,-0.000463,0.000048,768_1280,-0.000461,0.000016,-2E-06,0.000032,,
768_1408,-0.000391,0.00048,768_1408,-0.000389,0.000448,-2E-06,0.000032,,
768_1536,-0.000388,0.00037,768_1536,-0.000386,0.000339,-2E-06,0.000031,,
768_1664,-0.000385,0.000286,768_1664,-0.000384,0.000256,-1E-06,0.00003,,
768_1792,-0.000385,0.00027,768_1792,-0.000384,0.00024,-1E-06,0.00003,,
768_1920,-0.000383,0.00021,768_1920,-0.000381,0.000181,-2E-06,0.000029,,
768_2048,-0.000385,0.000215,768_2048,-0.000383,0.000185,-2E-06,0.00003,,
896_128,-0.000002,-0.000003,896_128,-0.000002,-0.000003,0,0,,
896_256,-0.000004,-0.000078,896_256,-0.000005,-0.000077,0.000001,-1E-06,,
896_384,-0.000019,0.000002,896_384,-0.000019,0.000003,0,-0.000001,,
896_512,-0.000026,0.000182,896_512,-0.000026,0.000182,0,0,,
896_640,-0.000025,0.000129,896_640,-0.000025,0.000124,0,5E-06,,
896_768,0.000033,0.001069,896_768,0.000032,0.001055,0.000001,1.4E-05,,
896_896,-0.000191,0.000621,896_896,-0.000194,0.000574,3E-06,4.7E-05,,
896_1024,-0.001094,-0.002744,896_1024,-0.00109,-0.002762,-4E-06,1.8E-05,,
896_1152,-0.002001,-0.005756,896_1152,-0.001989,-0.005751,-1.2E-05,-5E-06,,
896_1280,-0.002206,-0.0059,896_1280,-0.002197,-0.005922,-9E-06,2.2E-05,,
896_1408,-0.002146,-0.005214,896_1408,-0.002137,-0.005241,-9E-06,2.7E-05,,
896_1536,-0.002147,-0.00523,896_1536,-0.002138,-0.005261,-9E-06,3.1E-05,,
896_1664,-0.002152,-0.005131,896_1664,-0.002143,-0.005163,-9E-06,3.2E-05,,
896_1792,-0.002166,-0.005099,896_1792,-0.002157,-0.00513,-9E-06,3.1E-05,,
896_1920,-0.002168,-0.005182,896_1920,-0.002159,-0.005213,-9E-06,3.1E-05,,
896_2048,-0.00217,-0.005183,896_2048,-0.002161,-0.005213,-9E-06,3E-05,,
1024_128,-0.000003,-0.000016,1024_128,-0.000003,-0.000016,0,0,,
1024_256,-0.000018,-0.000046,1024_256,-0.000018,-0.000044,0,-0.000002,,
1024_384,-0.000048,0.000175,1024_384,-0.000048,0.000175,0,0,,
1024_512,-0.000062,0.000596,1024_512,-0.000062,0.000593,0,3E-06,,
1024_640,-0.000068,0.000483,1024_640,-0.000067,0.000474,-1E-06,0.000009,,
1024_768,-0.000128,-0.000028,1024_768,-0.000128,-0.000043,0,0.000015,,
1024_896,-0.000887,-0.003183,1024_896,-0.000884,-0.003198,-3E-06,1.5E-05,,
1024_1024,-0.004828,-0.027246,1024_1024,-0.004809,-0.027192,-1.9E-05,-5.4E-05,,
1024_1152,-0.008655,-0.049207,1024_1152,-0.008619,-0.049095,-3.6E-05,-0.000112,,
1024_1280,-0.009396,-0.051294,1024_1280,-0.009358,-0.051184,-3.8E-05,-0.00011,,
