key,real,imag
100_100,-0.000001,0.000010
100_200,-0.000001,0.000006
100_300,-0.000001,0.000013
100_400,-0.000000,0.000004
100_500,-0.000001,0.000003
100_600,-0.000000,-0.000000
100_700,-0.000000,0.000016
100_800,-0.000000,0.000017
100_900,0.000001,0.000011
100_1000,0.000002,0.000012
100_1100,0.000003,0.000009
100_1200,0.000005,0.000008
100_1300,0.000005,0.000000
100_1400,0.000005,0.000013
100_1500,0.000005,0.000016
100_1600,0.000005,0.000013
100_1700,0.000006,0.000005
100_1800,0.000006,0.000008
100_1900,0.000006,0.000007
100_2000,0.000005,0.000011
100_2048,0.000005,0.000016
200_100,-0.000001,0.000007
200_200,-0.000000,-0.000000
200_300,-0.000000,0.000008
200_400,0.000000,-0.000003
200_500,0.000001,-0.000024
200_600,0.000001,-0.000034
200_700,0.000001,-0.000052
200_800,0.000003,-0.000070
200_900,0.000008,-0.000070
200_1000,0.000016,-0.000066
200_1100,0.000024,-0.000066
200_1200,0.000031,-0.000068
200_1300,0.000035,-0.000081
200_1400,0.000035,-0.000102
200_1500,0.000035,-0.000112
200_1600,0.000035,-0.000130
200_1700,0.000036,-0.000144
200_1800,0.000036,-0.000143
200_1900,0.000036,-0.000141
200_2000,0.000036,-0.000144
200_2048,0.000036,-0.000138
300_100,-0.000001,0.000013
300_200,-0.000000,0.000008
300_300,-0.000001,0.000027
300_400,-0.000000,0.000027
300_500,-0.000000,0.000014
300_600,-0.000000,0.000013
300_700,-0.000000,-0.000013
300_800,0.000002,-0.000051
300_900,0.000010,-0.000083
300_1000,0.000025,-0.000063
300_1100,0.000042,-0.000035
300_1200,0.000053,-0.000052
300_1300,0.000057,-0.000101
300_1400,0.000058,-0.000129
300_1500,0.000058,-0.000143
300_1600,0.000058,-0.000149
300_1700,0.000059,-0.000159
300_1800,0.000058,-0.000144
300_1900,0.000058,-0.000135
300_2000,0.000059,-0.000140
300_2048,0.000058,-0.000128
400_100,-0.000000,0.000004
400_200,0.000001,-0.000003
400_300,0.000000,0.000027
400_400,0.000003,0.000008
400_500,0.000003,-0.000002
400_600,0.000003,-0.000026
400_700,0.000005,-0.000061
400_800,0.000015,-0.000068
400_900,0.000036,0.000017
400_1000,0.000059,0.000142
400_1100,0.000081,0.000259
400_1200,0.000104,0.000353
400_1300,0.000121,0.000356
400_1400,0.000125,0.000318
400_1500,0.000125,0.000287
400_1600,0.000125,0.000281
400_1700,0.000127,0.000259
400_1800,0.000128,0.000280
400_1900,0.000127,0.000294
400_2000,0.000129,0.000278
400_2048,0.000128,0.000290
500_100,-0.000001,0.000003
500_200,0.000002,-0.000023
500_300,-0.000000,0.000014
500_400,0.000003,-0.000002
500_500,0.000003,-0.000014
500_600,0.000003,-0.000062
500_700,0.000005,-0.000147
500_800,0.000025,-0.000117
500_900,0.000063,0.000120
500_1000,0.000096,0.000402
500_1100,0.000126,0.000670
500_1200,0.000165,0.000910
500_1300,0.000197,0.000989
500_1400,0.000205,0.000913
500_1500,0.000204,0.000853
500_1600,0.000204,0.000843
500_1700,0.000206,0.000821
500_1800,0.000206,0.000851
500_1900,0.000206,0.000855
500_2000,0.000209,0.000828
500_2048,0.000207,0.000841
600_100,-0.000001,-0.000001
600_200,0.000001,-0.000032
600_300,-0.000001,0.000014
600_400,0.000004,-0.000023
600_500,0.000005,-0.000059
600_600,0.000006,-0.000150
600_700,0.000010,-0.000246
600_800,0.000034,-0.000095
600_900,0.000046,0.000150
600_1000,0.000031,0.000361
600_1100,0.000013,0.000594
600_1200,0.000010,0.000802
600_1300,0.000037,0.000996
600_1400,0.000049,0.000942
600_1500,0.000049,0.000856
