key,real,imag
448_1152,0.000104,0.000350
448_1216,0.000121,0.000405
448_1280,0.000133,0.000412
448_1344,0.000139,0.000381
448_1408,0.000140,0.000347
448_1472,0.000140,0.000322
448_1536,0.000140,0.000309
448_1600,0.000140,0.000306
448_1664,0.000140,0.000291
448_1728,0.000142,0.000283
448_1792,0.000142,0.000303
448_1856,0.000141,0.000318
448_1920,0.000143,0.000311
448_1984,0.000144,0.000294
448_2048,0.000143,0.000306
512_64,-0.000002,0.000013
512_128,0.000000,-0.000010
512_192,0.000002,-0.000027
512_256,0.000000,-0.000006
512_320,-0.000000,0.000019
512_384,0.000002,0.000005
512_448,0.000003,-0.000014
512_512,0.000003,-0.000017
512_576,0.000003,-0.000051
512_640,0.000003,-0.000108
512_704,0.000006,-0.000164
512_768,0.000018,-0.000150
512_832,0.000041,-0.000031
512_896,0.000066,0.000164
512_960,0.000088,0.000369
512_1024,0.000102,0.000549
512_1088,0.000121,0.000748
512_1152,0.000140,0.000921
512_1216,0.000171,0.001097
512_1280,0.000189,0.001155
512_1344,0.000206,0.001151
512_1408,0.000204,0.001077
512_1472,0.000208,0.001045
512_1536,0.000202,0.001002
512_1600,0.000208,0.001020
512_1664,0.000204,0.000990
512_1728,0.000211,0.000998
512_1792,0.000206,0.001011
512_1856,0.000209,0.001042
512_1920,0.000206,0.001011
512_1984,0.000213,0.001005
512_2048,0.000205,0.000998
576_64,-0.000002,0.000009
576_128,0.000000,-0.000015
576_192,0.000002,-0.000033
576_256,-0.000001,-0.000005
576_320,-0.000001,0.000020
576_384,0.000003,-0.000006
576_448,0.000004,-0.000030
576_512,0.000005,-0.000050
576_576,0.000005,-0.000107
576_640,0.000005,-0.000169
576_704,0.000010,-0.000209
576_768,0.000025,-0.000136
576_832,0.000044,0.000051
576_896,0.000053,0.000237
576_960,0.000047,0.000381
576_1024,0.000035,0.000519
576_1088,0.000022,0.000658
576_1152,0.000017,0.000804
576_1216,0.000027,0.000976
576_1280,0.000047,0.001121
576_1344,0.000062,0.001149
576_1408,0.000067,0.001096
576_1472,0.000067,0.001042
576_1536,0.000067,0.001000
576_1600,0.000067,0.000988
576_1664,0.000069,0.000967
576_1728,0.000072,0.000953
576_1792,0.000072,0.000982
576_1856,0.000069,0.001005
576_1920,0.000071,0.000986
576_1984,0.000073,0.000964
576_2048,0.000071,0.000975
640_64,-0.000002,0.000011
640_128,-0.000001,-0.000009
640_192,0.000002,-0.000038
640_256,-0.000000,-0.000017
640_320,0.000001,0.000003
640_384,0.000004,-0.000031
640_448,0.000006,-0.000059
640_512,0.000007,-0.000106
640_576,0.000008,-0.000169
640_640,0.000008,-0.000265
640_704,0.000013,-0.000364
640_768,0.000034,-0.000256
640_832,0.000056,-0.000058
640_896,0.000063,0.000120
640_960,0.000056,0.000299
640_1024,0.000036,0.000500
640_1088,0.000018,0.000708
640_1152,0.000010,0.000882
640_1216,0.000020,0.001052
640_1280,0.000041,0.001199
640_1344,0.000065,0.001249
640_1408,0.000067,0.001134
640_1472,0.000069,0.001061
640_1536,0.000067,0.001006
640_1600,0.000071,0.000977
640_1664,0.000070,0.000949
640_1728,0.000076,0.000932
640_1792,0.000074,0.000953
640_1856,0.000074,0.000973
640_1920,0.000074,0.000941
640_1984,0.000078,0.000928
640_2048,0.000074,0.000935
704_64,-0.000003,0.000018
704_128,-0.000001,0.000000
704_192,0.000003,-0.000050
704_256,0.000001,-0.000038
704_320,0.000002,-0.000018
704_384,0.000005,-0.000055
704_448,0.000006,-0.000094
704_512,0.000009,-0.000164
704_576,0.000009,-0.000210
704_640,0.000010,-0.000366
704_704,0.000027,-0.000360
704_768,0.000066,-0.000019
704_832,0.000091,0.000293
704_896,0.000078,0.000467
704_960,-0.000000,0.000413
704_1024,-0.000135,0.000113
704_1088,-0.000269,-0.000152
704_1152,-0.000345,-0.000149
704_1216,-0.000356,0.000038
704_1280,-0.000328,0.000299
704_1344,-0.000287,0.000519
704_1408,-0.000270,0.000451
704_1472,-0.000270,0.000320
704_1536,-0.000269,0.000278
704_1600,-0.000267,0.000217
704_1664,-0.000266,0.000187
704_1728,-0.000263,0.000158
704_1792,-0.000263,0.000183
704_1856,-0.000265,0.000189
704_1920,-0.000260,0.000141
704_1984,-0.000258,0.000127
704_2048,-0.000262,0.000145
768_64,-0.000004,0.000020
768_128,-0.000001,0.000001
768_192,0.000004,-0.000064
768_256,0.000001,-0.000054
768_320,0.000001,-0.000046
768_384,0.000001,-0.000071
